Review,sentiment
New fine dining restaurant for delhities to relax and chill. Very beautiful place and ambience was also good. I like their chicken dumplings also. I also really love their chicken pizza and Andhra style chilly chicken. You must try their desserts specially Cheesecake and Mud Cake. Brownie lovers can enjoy a good brownie dessert here too.,positive
This is going to b one of the best restraunts in aero city opened by virat Kohli .Good ambeince ...cricket fans will love its interiors good music ...the outdoor feel at night would just blow Ur mind ...coming to food .we had 2 drinks in mock tail ....lovey Dovie Nd cucumber Nd lemon .food was really good .the best was coal chicken Nd mutton keema with pav was the best u have to try them they will open your taste buds .....thumbs up for chefs ...blueberry cheesecake was yum too .can surely visit this place again Nd again ....worth it man ....customer service was I loved too ....it is a place will stay long,positive
So this was the most awaited place - Virat and Anushka's restaurant i.e. One 8. It is a spacious restaurant with good food and happy vibes. There's a tshirt of Virat Kohli also in which he officially signed it. Coming to food we ordered veg and non veg dimsums. Chicken dimsums were super yummy. Veg were okayish in taste. The shakes were very tasty. Burger chicken sliders were also good. Punjabi chole are worth trying. And lastly the dessert was just amazing!😍,positive
"Romeo lane has such relaxing atmosphere. I can choose it over all other places. The staff was too polite. Service was quick & top notch. We ordered soup, smoked chicken, wrap, shake. oreo shake was so yummy. Soup - 10/10 😍. All my love for soup. Wrap was good too. It was an Amazing experience over there.",positive
"Romeos lane was a super hit. I had my lunch with a friend here a few days back and i can't get enough of it. . Firstly i really liked their rooftop. The interiors the lightings, everything gave a really royal vibe. . Coming to the food, i tried buffalo cheese pizza. Kid you not the pizza was delicious. Cheese was fresh and was super yummy. I also tried fried chicken with a dip. Extra marks for the presentation. The taste was also just heavenly.",positive
"Recently Visited This Beautiful Rooftop place , this is the perfect place for a romantic day out or a Dinner even . As the name says Romeo lane the ambiance of the place reflects a beach theme with greens all over. you will fall in love with the decor and vibe of it at once . Lets talk about the food , i tried the following items : Black Rice Arancini Buffalo Margehrita Pizza Kafir Lime Tandoori Chicken Romance of West Chamber - Veggies in Coconut Sauce topped with Noodles and Peanuts Jodha Akhbar ( The Best ) - Ghost Biryani with tadka Raita , Jalepeno Naan and Dal Makhni For Desserts Brownie with Vanila Ice cream (the Classic combo) the food was really nice ane had enough quantity too, was served Hot and with elegance . th Staff of the place was quite helpful and responsive. So a thumbs up for this place.",positive
"This cafe is located just near the civil lines metro station having both indoor and outdoor seating options which are nicely decorated and maintained❤️ It is situated on the third floor so that makes for the great view and ambience. food and ambience makes up for it It is very difficult to choose from there extensive menu, so i ordered white sauce pasta which looks tempting and is delicious too. And also cheese popcorn which is damm too good🔥 The food is nicely presented.If you are looking for lunch or dinner options they have a variety of options in appetizers as well as in main course. 😌The mocktails were quite refreshing and the smoothies were lip smacking. 😌 Overall a very nice experience at this place. One should definitely add this place to his/her Bucket list. ❤️ Might be slightly expensive for people looking to eat on a budget, but worth it💯",positive
"Nice restaurant with a good ambiance. The food is nice but I'll say a bit pricey, it's a very spacious cafe so there's no problem of finding a table. Well the service and food could be better.",positive
"Romeo, civil lines is an exclusive restaurant which has remarkable ambience and location. Food menu was fine not much appealing but presentation balances it on other side. The interiors are decent and do take a close look at the entrance at the walls with beautiful butterflies. Coming to the food we had few dishes arincini, Chela roll, buffalo veg pizza and in drinks had blueberry shake, Oreo shake, hazelnut shake. At last had chocolate brownie with ice-cream which was only worth visiting. Overall the food experience was fine and service was also average. The setting arrangement & staffing only upto the mark. It has both rooftop and inside sitting, you can enjoy your date on this lovable place for sure.",positive
Romeo lane is the perfect place where you find both amazing ambience and delicious food. 😍 Also i loved the hospitality they provide. Service 💯 Must visit place 🍻,positive
"This place was lit and hell amazing ambience with both sitting outdoor and indoor with rooftop sitting as well. The crowd on weekends are really nice and packed as well you might have to wait as well though. If we talk about food i have tried in snacks - Chicken tandoori bites, mutton biryani and rice balls with filling. Noodles, Margherita pizza as well. My favourite would be mutton biryani most recommended. In beverages- Cool cucumber and water lemon are good in taste. In desserts-: Chocolate fudge caramel with vanilla ice-cream which was damn tasty in taste. Best place for dating and enjoy with friends as well.",positive
Amazing decor. Wide range of menu. Two phrases that can brighten up any food blogger's day 😛 Romeo Lane offers you both and doesn't disappoint. Ambience is great. Staff very cooperative.,positive
"The place is really beautiful and comes with both indoor and outdoor seating, the outdoor seating is perfect. They’ve great menu options and service is really amazing. Come to Food and drinks Must try their Chicken Tikka, Veg Pizza, Chilli Chicken, panner tikka, dimsums, Veg Bao and in main course try their butter chicken is must try. In drinks try their smoothies and shakes for sure.",positive
"Romeo lane has such relaxing atmosphere. I can choose it over all other places. The staff was too polite. Service was quick & top notch. We ordered soup, smoked chicken, wrap, shake. oreo shake was so yummy. Soup - 10/10 😍. All my love for soup. Wrap was good too. It was an Amazing experience over there.",positive
"Romeos lane was a super hit. I had my lunch with a friend here a few days back and i can't get enough of it. . Firstly i really liked their rooftop. The interiors the lightings, everything gave a really royal vibe. . Coming to the food, i tried buffalo cheese pizza. Kid you not the pizza was delicious. Cheese was fresh and was super yummy. I also tried fried chicken with a dip. Extra marks for the presentation. The taste was also just heavenly.",positive
"Recently Visited This Beautiful Rooftop place , this is the perfect place for a romantic day out or a Dinner even . As the name says Romeo lane the ambiance of the place reflects a beach theme with greens all over. you will fall in love with the decor and vibe of it at once . Lets talk about the food , i tried the following items : Black Rice Arancini Buffalo Margehrita Pizza Kafir Lime Tandoori Chicken Romance of West Chamber - Veggies in Coconut Sauce topped with Noodles and Peanuts Jodha Akhbar ( The Best ) - Ghost Biryani with tadka Raita , Jalepeno Naan and Dal Makhni For Desserts Brownie with Vanila Ice cream (the Classic combo) the food was really nice ane had enough quantity too, was served Hot and with elegance . th Staff of the place was quite helpful and responsive. So a thumbs up for this place.",positive
"This cafe is located just near the civil lines metro station having both indoor and outdoor seating options which are nicely decorated and maintained❤️ It is situated on the third floor so that makes for the great view and ambience. food and ambience makes up for it It is very difficult to choose from there extensive menu, so i ordered white sauce pasta which looks tempting and is delicious too. And also cheese popcorn which is damm too good🔥 The food is nicely presented.If you are looking for lunch or dinner options they have a variety of options in appetizers as well as in main course. 😌The mocktails were quite refreshing and the smoothies were lip smacking. 😌 Overall a very nice experience at this place. One should definitely add this place to his/her Bucket list. ❤️ Might be slightly expensive for people looking to eat on a budget, but worth it💯",positive
"Nice restaurant with a good ambiance. The food is nice but I'll say a bit pricey, it's a very spacious cafe so there's no problem of finding a table. Well the service and food could be better.",positive
"Romeo, civil lines is an exclusive restaurant which has remarkable ambience and location. Food menu was fine not much appealing but presentation balances it on other side. The interiors are decent and do take a close look at the entrance at the walls with beautiful butterflies. Coming to the food we had few dishes arincini, Chela roll, buffalo veg pizza and in drinks had blueberry shake, Oreo shake, hazelnut shake. At last had chocolate brownie with ice-cream which was only worth visiting. Overall the food experience was fine and service was also average. The setting arrangement & staffing only upto the mark. It has both rooftop and inside sitting, you can enjoy your date on this lovable place for sure.",positive
Romeo lane is the perfect place where you find both amazing ambience and delicious food. 😍 Also i loved the hospitality they provide. Service 💯 Must visit place 🍻,positive
"This place was lit and hell amazing ambience with both sitting outdoor and indoor with rooftop sitting as well. The crowd on weekends are really nice and packed as well you might have to wait as well though. If we talk about food i have tried in snacks - Chicken tandoori bites, mutton biryani and rice balls with filling. Noodles, Margherita pizza as well. My favourite would be mutton biryani most recommended. In beverages- Cool cucumber and water lemon are good in taste. In desserts-: Chocolate fudge caramel with vanilla ice-cream which was damn tasty in taste. Best place for dating and enjoy with friends as well.",positive
Amazing decor. Wide range of menu. Two phrases that can brighten up any food blogger's day 😛 Romeo Lane offers you both and doesn't disappoint. Ambience is great. Staff very cooperative.,positive
"The place is really beautiful and comes with both indoor and outdoor seating, the outdoor seating is perfect. They’ve great menu options and service is really amazing. Come to Food and drinks Must try their Chicken Tikka, Veg Pizza, Chilli Chicken, panner tikka, dimsums, Veg Bao and in main course try their butter chicken is must try. In drinks try their smoothies and shakes for sure.",positive
Prices were quite reasonable and the food was amazing.,positive
"Good food, quirky decor and classy ambience. A place which never disappoints. Everything seems perfect. The food was mouth watering, even the serving size is quite enough for 2-3 people. This place is definitely a gem. With a supportive staff and soothing decor this place is perfect.",positive
Ama cafe is very popular in Majnu ka tila and always crowded. It is known for their breakfast specially Himalayan breakfast and soft fluffy pancakes. The juicr served along is really good. Their in house bakery is great too. Very reasonable and must visit when in Delhi,positive
"This is very nice place in majnu ka tila a tibiten cafe name I really like this place very poilet staff and sitting area is so good I order pancakes, fruits, shakes and coffee everything is good and reasonable price planning to visit again",positive
"This place is a must visit.. Service is Lightning fast.. Taste is superb.. Ample sitting space.. Classic location.. (Although parking is a problem, better reach here via cab) So far best place under Value for Money.. They have a superb variety for breakfast.. Definitely visiting soon..",positive
Was at AMA for a brunch and totally enjoyed the brunch. It was unwinding and laid back😊 The pancakes are one the best pancakes I’ve ever had. So much fluffy and maintained sugar quantity makes me crave it so much. The pancakes are a must try from here,positive
"AMBIENCE - I really love being at this place . It is a perfect place to have a breakfast and have a really good time with your friends. It is spread over 3 floors and beautifully built. The interiors are very cute . Love the ambiance of this place. Usually the place is full. WHAT I ORDERED 🍽️:- 🍞Grilled Vegetable Cheese Sandwich, 🥞Double Chocolate Pancakes- favourite, 🧀Chilli cheese toast - loved the taste of chillies in it, 🍳English Breakfast and American Breakfast both with scrambled eggs and 🍹pineapple juice and watermelon juice ☕Ice Blended Hazelnut Latte , Ice Blended Mocha Latte, Double Cappuccino , Ice Shaken Americano(black coffee basically) Everything from food to beverages was very splendid. SERVICE - The service was good . The staff was very courteous. PRICE - Our cheque was for Rs 1360 for 4 people. It is very pocket friendly. Tasty food . Good ambiance. Affordable. What else is needed? Must visit.",positive
"Great place, loved the amazing decor and the fact the place is huge with plants and wooden decor! The food tastes delicious and the quality is suffice! ♥ The place is lovely, and I have already been here thrice in 2 weeks.",positive
Found the place a bit over hyped. Veg cheese sandwich was ok ok. Cold coffee wasn’t good. Molten cheese fries was the best thing along with red velvet cheese cake. Chicken burger wasn’t good at as well.,negative
A very busy cafe which is worth going. I usually visit here for their famous coffees and desserts. My favorite is dark chocolate cake which is not that sweet and overloaded with chocolate and hazelnut coffee. Their breakfast menu and banana pancakes is a must try.,positive
Prices were quite reasonable and the food was amazing.,positive
"Good food, quirky decor and classy ambience. A place which never disappoints. Everything seems perfect. The food was mouth watering, even the serving size is quite enough for 2-3 people. This place is definitely a gem. With a supportive staff and soothing decor this place is perfect.",positive
Ama cafe is very popular in Majnu ka tila and always crowded. It is known for their breakfast specially Himalayan breakfast and soft fluffy pancakes. The juicr served along is really good. Their in house bakery is great too. Very reasonable and must visit when in Delhi,positive
"This is very nice place in majnu ka tila a tibiten cafe name I really like this place very poilet staff and sitting area is so good I order pancakes, fruits, shakes and coffee everything is good and reasonable price planning to visit again",positive
"This place is a must visit.. Service is Lightning fast.. Taste is superb.. Ample sitting space.. Classic location.. (Although parking is a problem, better reach here via cab) So far best place under Value for Money.. They have a superb variety for breakfast.. Definitely visiting soon..",positive
Was at AMA for a brunch and totally enjoyed the brunch. It was unwinding and laid back😊 The pancakes are one the best pancakes I’ve ever had. So much fluffy and maintained sugar quantity makes me crave it so much. The pancakes are a must try from here,positive
"AMBIENCE - I really love being at this place . It is a perfect place to have a breakfast and have a really good time with your friends. It is spread over 3 floors and beautifully built. The interiors are very cute . Love the ambiance of this place. Usually the place is full. WHAT I ORDERED 🍽️:- 🍞Grilled Vegetable Cheese Sandwich, 🥞Double Chocolate Pancakes- favourite, 🧀Chilli cheese toast - loved the taste of chillies in it, 🍳English Breakfast and American Breakfast both with scrambled eggs and 🍹pineapple juice and watermelon juice ☕Ice Blended Hazelnut Latte , Ice Blended Mocha Latte, Double Cappuccino , Ice Shaken Americano(black coffee basically) Everything from food to beverages was very splendid. SERVICE - The service was good . The staff was very courteous. PRICE - Our cheque was for Rs 1360 for 4 people. It is very pocket friendly. Tasty food . Good ambiance. Affordable. What else is needed? Must visit.",positive
"Great place, loved the amazing decor and the fact the place is huge with plants and wooden decor! The food tastes delicious and the quality is suffice! ♥ The place is lovely, and I have already been here thrice in 2 weeks.",positive
Found the place a bit over hyped. Veg cheese sandwich was ok ok. Cold coffee wasn’t good. Molten cheese fries was the best thing along with red velvet cheese cake. Chicken burger wasn’t good at as well.,negative
A very busy cafe which is worth going. I usually visit here for their famous coffees and desserts. My favorite is dark chocolate cake which is not that sweet and overloaded with chocolate and hazelnut coffee. Their breakfast menu and banana pancakes is a must try.,positive
"It was fist visit to The GT road CP. they offer buffet veg or nonveg both, they also have live grill where we can have freshly grilled veg or non veg starter. their menu have enough variety which was really excited. i tried multiple things. i really loved panne tikka, chicken tikka which was amazing tasty. i liked dall makhani and chicken biryani i found it worth going as they serve one of the best north indian buffet. apart from this they have wide range of dessert. so if you have sweet tooth you will get variety of desserts. thanks The GT road ❤️",positive
"One of the most iconic live grill, fine dine buffets in Delhi! The GT road offers one of the best Buffet experiences that is simply outmatched! The place is simply amazing to say the least. Went there on a dine in lunch with my fiance & we both loved it. This place has both quantity & quality to the brim! The food is just amazing to say the least. The BBQ prawns & the Chicken wings are the highlights! The grilled mushrooms are also a must try. The main course has dishes ranging from Kabul to Chittagong, with one dish from each of the 11 iconic cities. The Fish curry from Kolkata & the Butter Chicken from Amritsar are the top notch dishes. In desserts you'd be spiolt for choice with the variety of options you get! So, tickel your sweet tooth & get on with it.",positive
"Went to gt road with my friends...first of all the ambience of the outlet was very beautiful,secondly staff was very humble and helpful..the taste of the snacks was very good(salsa potato and mushroom tikka is highly recommended),In main course i really loved the taste of the dal makhani, it was delicious. There were a lots of varieties for dessert, among them all i liked the taste of spong rasgulla and paan kulfi. This place is highly recommended if you are finding a barbecue restaurant with awesome service and good food. Happy Eating....!!!!",positive
"Really liked the ambience of the place. The era they have shown through their interiors gives an exclusive feel. The starters were really good. Liked the paneer tikaa, crispy corn, mushroom tikka. The variety in the buffet was also very extensive. Liked the dal makhni, paneer lababdar, moong dal halwa. Overall really had a great time. And the cherry ok the cake was the courteous staff. Very humble and respectful.",positive
This place has definitely to be my favourite place for the live grill. Love the chaap. The service was just amazing. Love the indian chaat and the bunta drinks. The north indian food was just amazing and love every bit of this place. The crispy corn was amazing and equally crispy. Though i tried their vegetarian food but i sm sure non beg would also be amazing. Love this place.,positive
"my recent visit to this place with friends over lunch was a good experience. The place is nicely built with good ambience and the background music was really amazing. In cocktails I tried, zanjeer bunta and garmich sardi da Ehsas bunta. Both the cocktails were light in taste and had a perfect combination. For starters we had palak patta chaat, crispy corns, potato salsa. The food was good and the service was also quick.",positive
"GT road as the name suggests is based on theme of one of the oldest and longest highway from Chittagong to Kabul. The interiors of this place is beautiful along with amazing ambience. We tried palak patta chat,papdi chat, salsa potato(best of all) and many tandoori items in starters. Coming to main course I really like the Dal Makhni along with paneer masala which were beautifully accompanied by garlic naan. In desserts I really liked paan ice cream and fruit custard.",positive
"Amongst the few buffet style restaurants GT Road's experience was best . Their decor matches the grandness as they offer in their food. We were served with around 7-8 starters including crispy chicken wings , chaat , paneer tikka , fish , gol gappe and mushroom. In drinks we had kala khatta , aam ala banta and some cocktails. Coming to main course we had dal makhani , chicken and paneer with some breads . Best part was deserts with huge variety. Overall had a great experience . Highly recommended.",positive
"Probably the best buffet in town, the moment you step in the outlet eye-catching ambience and positive vibes win you hearts. Very welcoming staff and quick service were just cherry on top. The food from starters to desserts was outstanding. Somewhat they can improve themselves in drinks section, otherwise one of the best grill experience I ever had. Biryani and tara ghosht were best.Desserts were amazing, just the kind of ending you want. Will surely visit this place again with my family",positive
"I visited this place with my family to celebrate my cousin's birthday. We had a great time. The place serves Indian buffet. We tried all the starters, mains and desserts. The chicken wings and mushroom tikka stood out in the starters. The dal makhani and murgh makhanwala stood out in the main course. The chena payas and shahi tukda stood out in the desserts.",positive
"It was fist visit to The GT road CP. they offer buffet veg or nonveg both, they also have live grill where we can have freshly grilled veg or non veg starter. their menu have enough variety which was really excited. i tried multiple things. i really loved panne tikka, chicken tikka which was amazing tasty. i liked dall makhani and chicken biryani i found it worth going as they serve one of the best north indian buffet. apart from this they have wide range of dessert. so if you have sweet tooth you will get variety of desserts. thanks The GT road ❤️",positive
"One of the most iconic live grill, fine dine buffets in Delhi! The GT road offers one of the best Buffet experiences that is simply outmatched! The place is simply amazing to say the least. Went there on a dine in lunch with my fiance & we both loved it. This place has both quantity & quality to the brim! The food is just amazing to say the least. The BBQ prawns & the Chicken wings are the highlights! The grilled mushrooms are also a must try. The main course has dishes ranging from Kabul to Chittagong, with one dish from each of the 11 iconic cities. The Fish curry from Kolkata & the Butter Chicken from Amritsar are the top notch dishes. In desserts you'd be spiolt for choice with the variety of options you get! So, tickel your sweet tooth & get on with it.",positive
"Went to gt road with my friends...first of all the ambience of the outlet was very beautiful,secondly staff was very humble and helpful..the taste of the snacks was very good(salsa potato and mushroom tikka is highly recommended),In main course i really loved the taste of the dal makhani, it was delicious. There were a lots of varieties for dessert, among them all i liked the taste of spong rasgulla and paan kulfi. This place is highly recommended if you are finding a barbecue restaurant with awesome service and good food. Happy Eating....!!!!",positive
"Really liked the ambience of the place. The era they have shown through their interiors gives an exclusive feel. The starters were really good. Liked the paneer tikaa, crispy corn, mushroom tikka. The variety in the buffet was also very extensive. Liked the dal makhni, paneer lababdar, moong dal halwa. Overall really had a great time. And the cherry ok the cake was the courteous staff. Very humble and respectful.",positive
This place has definitely to be my favourite place for the live grill. Love the chaap. The service was just amazing. Love the indian chaat and the bunta drinks. The north indian food was just amazing and love every bit of this place. The crispy corn was amazing and equally crispy. Though i tried their vegetarian food but i sm sure non beg would also be amazing. Love this place.,positive
"my recent visit to this place with friends over lunch was a good experience. The place is nicely built with good ambience and the background music was really amazing. In cocktails I tried, zanjeer bunta and garmich sardi da Ehsas bunta. Both the cocktails were light in taste and had a perfect combination. For starters we had palak patta chaat, crispy corns, potato salsa. The food was good and the service was also quick.",positive
"GT road as the name suggests is based on theme of one of the oldest and longest highway from Chittagong to Kabul. The interiors of this place is beautiful along with amazing ambience. We tried palak patta chat,papdi chat, salsa potato(best of all) and many tandoori items in starters. Coming to main course I really like the Dal Makhni along with paneer masala which were beautifully accompanied by garlic naan. In desserts I really liked paan ice cream and fruit custard.",positive
"Amongst the few buffet style restaurants GT Road's experience was best . Their decor matches the grandness as they offer in their food. We were served with around 7-8 starters including crispy chicken wings , chaat , paneer tikka , fish , gol gappe and mushroom. In drinks we had kala khatta , aam ala banta and some cocktails. Coming to main course we had dal makhani , chicken and paneer with some breads . Best part was deserts with huge variety. Overall had a great experience . Highly recommended.",positive
"Probably the best buffet in town, the moment you step in the outlet eye-catching ambience and positive vibes win you hearts. Very welcoming staff and quick service were just cherry on top. The food from starters to desserts was outstanding. Somewhat they can improve themselves in drinks section, otherwise one of the best grill experience I ever had. Biryani and tara ghosht were best.Desserts were amazing, just the kind of ending you want. Will surely visit this place again with my family",positive
"I visited this place with my family to celebrate my cousin's birthday. We had a great time. The place serves Indian buffet. We tried all the starters, mains and desserts. The chicken wings and mushroom tikka stood out in the starters. The dal makhani and murgh makhanwala stood out in the main course. The chena payas and shahi tukda stood out in the desserts.",positive
"Visited this place for Saturday lunch. The food was great, from starters to desserts all were yum . The only thing that I’m giving it 4 stars is because the service was slow for starters. We literally waited for 5-10 mins to get our desired starters.",positive
"My brother recommend The GT Road to me based on his past experiences as he is a regular at the same. My experience too was great. The ambience was very different as compared to it's competitions. As the name suggests, the design is inspired by old times where you can find utensils which our grandparents might have used. The food items are inspired from local cuisines of places which lie on the Grand Trunk Road, whether it is Howrah or Lahore or Kabul. As far as service is concerned, full marks to the staff and management. Thanks to Ashok Sawant and Sumit for taking care of my evening. 😇",positive
Best buffet in town . The taste is impeccable the variety is unbeatable. The quality and taste are extremely good. The sweet selection is huge and the see is quick Worth the money . Good for feasting and gorging,positive
"Went here on Sunday for lunch. The place was so crowded that it affected the service and ambience. It was so hot inside the restaurant may be due to live grill and over crowdedness. Service was not good. Have to ask manager twice or thrice in order to speed up the service as we were waiting for quite a long. Infact, all the snacks in the menu were not served until asked for. Coming to the food, it was nice. Desserts were the best part of the buffet. Had a pretty nice meal though. It’s a kids friendly place so that was another plus point. In drinks, we order kala khatta drink which was fine. Not great though. Best snack was pineapple grill which we had to ask them to serve and in desserts, sheer khurma and custard jelly was delicious. Food: 4/5 Quality: 4/5 Service: 3/5 Ambience: 3/5",positive
Good food. Great variety of snacks and main course. Very authentic flavours of dishes. Rich and flavourful food. Desserts too were very good and tasty. Overall experience was lavish- worth a try. Surely,positive
"This place just took my heart away, perfect place To go on a dinner date. The ambience, candles, food and the decor is amazing. I just love the way they have put up the place filled with candles and small lil cabanas.",positive
You have a date!!Wanna find a romantic Spanish resturant in Delhi NCR. This is the place you must see. Ambience is very good. Food is delicious.I am sure your date willl be successful.Supporting Staff and delicious food makes it more perfect place for a Date!!!,positive
